"Severity","ThreadID","Date","Time","Application","Message"
"INFO","Thread-134552","05/06/2020","13:38:39","remote-client","sucessfully executed: Confirm CharityMatch Sign Up"
"INFO","Thread-134580","05/06/2020","13:39:56","remote-client","sucessfully executed: Confirm CharityMatch Sign Up"
"INFO","Thread-134580","05/06/2020","13:39:56","remote-client","sucessfully executed: Confirm CharityMatch Sign Up"
"INFO","Thread-134624","05/06/2020","13:41:32","remote-client","sucessfully executed: Confirm CharityMatch Sign Up"
"INFO","Thread-134624","05/06/2020","13:41:32","remote-client","sucessfully executed: Confirm CharityMatch Sign Up"
"INFO","Thread-134677","05/06/2020","13:44:09","remote-client","sucessfully executed: Change CharityMatch Password"
"INFO","Thread-134677","05/06/2020","13:44:09","remote-client","sucessfully executed: Change CharityMatch Password"
"INFO","Thread-22925","05/08/2020","08:36:19","remote-client","sucessfully executed: Confirm CharityMatch Sign Up"
"INFO","Thread-22925","05/08/2020","08:36:25","remote-client","sucessfully executed: Confirm CharityMatch Sign Up"
"INFO","Thread-28637","05/08/2020","14:43:53","remote-client","sucessfully executed: Change CharityMatch Password"
"INFO","Thread-28637","05/08/2020","14:43:58","remote-client","sucessfully executed: Change CharityMatch Password"
"INFO","Thread-579331","10/05/2020","13:35:12","remote-client","sucessfully executed: Confirm CharityMatch Sign Up"
